job_id,category,job_title,ground_truth,extracted_flat,require_tool,require_skill,require_certification,n_gt,n_extracted,precision,recall,f1,jaccard,tp,fp,fn,partial_precision,partial_recall,partial_f1,error
3902668440,HR,Sr Human Resource Generalist,"['employee relations', 'talent acquisition', 'performance management', 'compensation and benefits', 'employment laws and regulations', 'analytical skills', 'employee benefits administration', 'hr policies and procedures', 'recruitment strategies', 'fmla', 'ada', 'communication', 'interpersonal skills', 'collaboration', 'influence', 'change management', 'professional development', 'payroll processing', 'job design', 'salary administration', 'human capital management system', 'hr audits and assessments', 'flsa', 'erisa', 'eeoc guidelines', 'confidentiality', 'intellectual curiosity']","['dayforce', 'employee relations', 'talent acquisition', 'performance management', 'payroll processing', 'compensation and benefits', 'organizational policies', 'supervisory responsibilities', 'recruitment strategies', 'job descriptions', 'learning and development', 'employee development programs', 'training initiatives', 'health plans', 'welfare plans', '401k plans', 'confidential information handling', 'human capital management system', 'payroll administration', 'FLSA compliance', 'FMLA', 'ada compliance', 'EEOC guidelines', 'ERISA compliance', 'SHRM-CP certification', 'SPHR certification', 'phr certification']",['dayforce'],"['employee relations', 'talent acquisition', 'performance management', 'payroll processing', 'compensation and benefits', 'organizational policies', 'supervisory responsibilities', 'recruitment strategies', 'job descriptions', 'learning and development', 'employee development programs', 'training initiatives', 'health plans', 'welfare plans', '401k plans', 'confidential information handling', 'human capital management system', 'payroll administration']","['FLSA compliance', 'FMLA', 'ada compliance', 'EEOC guidelines', 'ERISA compliance', 'SHRM-CP certification', 'SPHR certification', 'phr certification']",27,27,0.3333,0.3333,0.3333,0.2,9,18,18,0.4444,0.4444,0.4444,
3905823748,HR,Human Resources Manager,"['talent acquisition', 'employee performance management', 'legal compliance', 'payroll processing', 'microsoft office', 'policy development', 'training and development', 'background checks', 'collaboration', 'communication', 'problem solving', 'leadership', 'organizational skills', 'attention to detail', 'adaptability', 'shrm-cp certification']","['employee performance tools', 'microsoft office', 'talent acquisition', 'on-boarding', 'performance review', 'disciplinary matters', 'payroll processing', 'personnel records', 'document retention', 'professional development', 'training and certification', 'benefit package administration', 'off-boarding', 'background checks', 'FMLA compliance', 'ada compliance', 'FLSA compliance', 'shrm-cp certification']","['employee performance tools', 'microsoft office']","['talent acquisition', 'on-boarding', 'performance review', 'disciplinary matters', 'payroll processing', 'personnel records', 'document retention', 'professional development', 'training and certification', 'benefit package administration', 'off-boarding', 'background checks']","['FMLA compliance', 'ada compliance', 'FLSA compliance', 'shrm-cp certification']",16,18,0.2778,0.3125,0.2941,0.1724,5,13,11,0.2778,0.3125,0.2941,
3905854799,HR,Director of Human Resources,"['human resources management', 'recruitment', 'employee relations', 'performance management', 'compliance with labor laws', 'data management', 'training & development', 'payroll management', 'project management', 'computer skills', 'communication', 'team building', 'attention to detail', 'problem solving', 'conflict management', 'leadership', 'time management', 'collaboration', 'motivation', 'adaptability']","['employee relations', 'random drug testing program', 'conflict management', 'team development', 'FMLA compliance', 'COBRA compliance', 'ada compliance', 'EEO guidelines', 'I-9 verification', 'SHRM-CP certification']",[],"['employee relations', 'random drug testing program', 'conflict management', 'team development']","['FMLA compliance', 'COBRA compliance', 'ada compliance', 'EEO guidelines', 'I-9 verification', 'SHRM-CP certification']",20,10,0.2,0.1,0.1333,0.0714,2,8,18,0.2,0.1,0.1333,
3905834061,HR,Chief Human Resources Officer,"['talent management', 'organizational development', 'hr compliance', 'hr technology systems', 'data-driven hr analytics', 'compensation and benefits strategies', 'strategic hr planning', 'workforce planning', 'employee development', 'performance management', 'leadership', 'communication', 'collaboration', 'creativity', 'inclusivity', 'change management', 'employee engagement', 'problem solving']","['hr technology systems', 'talent acquisition', 'succession planning', 'organizational development', 'culture building', 'talent management', 'workforce planning', 'performance management', 'employee development', 'hr analytics', 'FLSA compliance', 'ERISA compliance', 'healthcare industry standards']",['hr technology systems'],"['talent acquisition', 'succession planning', 'organizational development', 'culture building', 'talent management', 'workforce planning', 'performance management', 'employee development', 'hr analytics']","['FLSA compliance', 'ERISA compliance', 'healthcare industry standards']",18,13,0.4615,0.3333,0.3871,0.24,6,7,12,0.5385,0.3889,0.4516,
3906250451,HR,Human Resources Generalist (Hybrid Role),"['microsoft office', 'data analysis', 'employee onboarding', 'strategic thinking', 'problem solving', 'time management', 'attention to detail', 'communication', 'customer service', 'interpersonal skills', 'independence', 'hris systems', 'organizational development', 'change management', 'compliance reporting', 'performance management', 'job description creation', 'employee investigations', 'conflict negotiation', 'confidentiality']","['microsoft office', 'employee investigations', 'employee onboarding', 'compliance reporting', 'employee exit interviews', 'performance management', 'organizational development', 'HRIS systems', 'EEOC guidelines', 'FLSA compliance', 'PHR certification']",['microsoft office'],"['employee investigations', 'employee onboarding', 'compliance reporting', 'employee exit interviews', 'performance management', 'organizational development', 'HRIS systems']","['EEOC guidelines', 'FLSA compliance', 'PHR certification']",20,11,0.6364,0.35,0.4516,0.2917,7,4,13,0.6364,0.35,0.4516,
3901389277,HR,Human Resources Manager,"['hr management', 'talent acquisition', 'labor compliance', 'employee relations', 'benefits administration', 'payroll management', 'safety procedures', 'communication', 'leadership', 'teamwork', 'problem solving', 'organizational skills', 'attention to detail', 'flexibility', 'positive attitude', 'self-starter', 'erp software', 'excel', 'o365 tools', 'discrepancy resolution', 'customer relations']","['applicant tracking systems', 'viewpoint vista erp system', 'ics vista', 'office 365', 'microsoft excel', 'talent acquisition', 'workforce planning', 'employee relations', 'onboarding', 'prevailing wage workers', 'union workers', 'employee handbook', 'disciplinary policy', 'vacation policy', 'sick leave policy', 'bereavement policy', 'payroll processing', '401k contributions', 'benefit programs', 'ICS benefits programs', 'web-based enrollments', 'carrier portal', 'open enrollment', '401(k) retirement plan', 'AFLAC benefit offerings', 'EEO compliance', 'interactive process', 'leave of absence', 'vacation time accruals', 'paperless onboarding', 'HRIS functions', 'harassment training', 'workplace violence prevention', ""worker's comp claims"", 'FMLA', 'CFRA', 'PDL', 'PFL', 'ADA/FEHA', 'OSHA compliance']","['applicant tracking systems', 'viewpoint vista erp system', 'ics vista', 'office 365', 'microsoft excel']","['talent acquisition', 'workforce planning', 'employee relations', 'onboarding', 'prevailing wage workers', 'union workers', 'employee handbook', 'disciplinary policy', 'vacation policy', 'sick leave policy', 'bereavement policy', 'payroll processing', '401k contributions', 'benefit programs', 'ICS benefits programs', 'web-based enrollments', 'carrier portal', 'open enrollment', '401(k) retirement plan', 'AFLAC benefit offerings', 'EEO compliance', 'interactive process', 'leave of absence', 'vacation time accruals', 'paperless onboarding', 'HRIS functions', 'harassment training', 'workplace violence prevention', ""worker's comp claims""]","['FMLA', 'CFRA', 'PDL', 'PFL', 'ADA/FEHA', 'OSHA compliance']",21,40,0.05,0.0952,0.0656,0.0339,2,38,19,0.075,0.1429,0.0984,
3902348043,HR,Human Resources Generalist,"['microsoft office', 'communication', 'attention to detail', 'professionalism', 'recruitment', 'training', 'onboarding', 'performance management', 'hris (ceridian/dayforce)', 'benefits administration', 'knowledge of hr laws', 'employee relations', 'time management', 'teamwork', 'confidentiality', 'stress management', 'initiative', 'relationship building', 'collaboration']","['ceridian/dayforce', 'ceridian', 'microsoft program', 'talent acquisition', 'recruitment process', 'onboarding', 'performance management', 'employee relations', 'benefits administration', 'leave management', 'workers compensation claims', 'unemployment claims', 'unemployment hearings', 'recruiting coordination', 'conflict resolution process', 'human resources processes', 'federal laws', 'state laws', 'local laws']","['ceridian/dayforce', 'ceridian', 'microsoft program']","['talent acquisition', 'recruitment process', 'onboarding', 'performance management', 'employee relations', 'benefits administration', 'leave management', 'workers compensation claims', 'unemployment claims', 'unemployment hearings', 'recruiting coordination', 'conflict resolution process', 'human resources processes']","['federal laws', 'state laws', 'local laws']",19,19,0.2105,0.2105,0.2105,0.1176,4,15,15,0.3684,0.3158,0.3401,
3906258424,HR,Human Resources Information System Specialist,"['adp hris', 'reporting', 'data compilation', 'excel', 'technology solutions', 'compliance knowledge', 'collaboration', 'communication', 'problem solving', 'recommendation making', 'attention to detail', 'self-management', 'organizational skills', 'data analysis', 'hr data metrics', 'data cleaning', 'data integration', 'hris configuration', 'business requirements gathering', 'workflow development']","['excel', 'workforce planning', 'data analysis', 'hris systems', 'FLSA compliance', 'ADP certification']",['excel'],"['workforce planning', 'data analysis', 'hris systems']","['FLSA compliance', 'ADP certification']",20,6,0.3333,0.1,0.1538,0.0833,2,4,18,0.3333,0.1,0.1538,
3891070825,HR,Human Resources Generalist,"['recruitment', 'payroll administration', 'compliance', 'human resources management', 'policy adherence', 'manufacturing hr experience', 'interpersonal skills', 'communication', 'relationship building', 'onboarding', 'employee termination', 'benefits administration']","['recruitment efforts', 'new hire orientation', 'onboarding efforts', 'employee termination process', 'payroll administration', 'benefits administration', 'company policies and procedures', 'legal responsibilities']",[],"['recruitment efforts', 'new hire orientation', 'onboarding efforts', 'employee termination process', 'payroll administration', 'benefits administration', 'company policies and procedures', 'legal responsibilities']",[],12,8,0.25,0.1667,0.2,0.1111,2,6,10,0.625,0.4167,0.5,
3901949090,HR,Human Resources Project Manager,"['project documentation', 'communication', 'stakeholder management', 'relationship building', 'problem solving', 'team collaboration', 'leadership', 'adaptability', 'hr project management', 'smartsheets', 'creating hr training programs', 'creating hr communications', 'managing complex employee events', 'change management', 'risk management', 'pmp certification', 'shrm-cp certification', 'confidentiality']","['hr project management', 'employee events', 'change management', 'learning & development', 'teaming', 'onboarding', 'shrm-cp certification', 'PMP certification']",[],"['hr project management', 'employee events', 'change management', 'learning & development', 'teaming', 'onboarding']","['shrm-cp certification', 'PMP certification']",18,8,0.5,0.2222,0.3077,0.1818,4,4,14,0.625,0.2778,0.3846,
