skill1,skill2,count
communication,problem solving,842
adaptability,communication,565
communication,teamwork,549
adaptability,problem solving,498
problem solving,teamwork,453
adaptability,teamwork,332
collaboration,communication,323
communication,leadership,311
communication,time management,300
collaboration,problem solving,284
leadership,problem solving,275
communication,interpersonal skills,262
communication,customer service,257
communication,relationship building,256
problem solving,time management,248
communication,data analysis,244
attention to detail,communication,229
data analysis,problem solving,220
communication,project management,220
communication,organizational skills,212
customer service,problem solving,208
interpersonal skills,problem solving,200
problem solving,relationship building,200
customer service,teamwork,192
adaptability,time management,190
attention to detail,problem solving,188
problem solving,project management,184
adaptability,leadership,182
adaptability,collaboration,179
teamwork,time management,172
organizational skills,problem solving,157
communication,negotiation,153
adaptability,data analysis,151
adaptability,customer service,149
attention to detail,teamwork,148
communication,sales,145
collaboration,leadership,142
adaptability,relationship building,142
communication,presentation skills,134
adaptability,interpersonal skills,132
business development,communication,132
adaptability,project management,128
relationship building,teamwork,127
negotiation,problem solving,127
leadership,teamwork,126
communication,financial analysis,124
interpersonal skills,teamwork,121
communication,strategic thinking,121
leadership,project management,115
data analysis,teamwork,113
adaptability,attention to detail,111
organizational skills,teamwork,110
financial analysis,problem solving,108
presentation skills,problem solving,107
problem solving,strategic thinking,106
analytical skills,communication,103
business development,problem solving,102
adaptability,organizational skills,102
attention to detail,time management,101
collaboration,data analysis,100
problem solving,sales,100
communication,employee relations,99
interpersonal skills,leadership,99
project management,teamwork,97
customer service,time management,94
communication,team collaboration,94
collaboration,project management,94
communication,self-motivation,93
communication,financial reporting,90
sales,teamwork,90
adaptability,negotiation,89
adaptability,sales,88
communication,flexibility,88
data analysis,leadership,88
employee relations,problem solving,86
communication,customer relationship management,84
interpersonal skills,time management,84
interpersonal skills,organizational skills,84
communication,microsoft office,83
collaboration,interpersonal skills,83
adaptability,presentation skills,82
communication,creativity,81
organizational skills,time management,81
budgeting,communication,81
financial reporting,problem solving,80
communication,performance management,80
attention to detail,organizational skills,80
collaboration,time management,79
adaptability,strategic thinking,79
financial analysis,leadership,78
adaptability,business development,78
analytical skills,problem solving,77
communication,market analysis,77
problem solving,team collaboration,77
communication,independence,76
negotiation,teamwork,75
data analysis,interpersonal skills,75
presentation skills,teamwork,75
customer relationship management,problem solving,74
collaboration,teamwork,74
leadership,strategic thinking,74
communication,microsoft office suite,74
communication,strategic planning,72
adaptability,financial analysis,71
data analysis,time management,70
analytical thinking,communication,69
leadership,organizational skills,69
communication,networking,69
relationship building,sales,69
communication,initiative,69
budgeting,problem solving,68
adaptability,team collaboration,67
microsoft office,problem solving,67
performance management,problem solving,67
business development,relationship building,66
collaboration,strategic thinking,66
creativity,problem solving,66
leadership,time management,66
financial analysis,teamwork,66
analytical thinking,problem solving,65
leadership,relationship building,65
attention to detail,data analysis,65
data analysis,project management,65
flexibility,problem solving,65
interpersonal skills,project management,65
market analysis,problem solving,64
collaboration,relationship building,64
microsoft office suite,problem solving,64
customer service,relationship building,64
coaching,communication,64
attention to detail,interpersonal skills,64
collaboration,organizational skills,64
attention to detail,collaboration,64
attention to detail,customer service,63
communication,confidentiality,63
relationship building,time management,63
communication,excel,63
problem solving,strategic planning,63
accounting,communication,62
problem solving,self-motivation,62
data analysis,organizational skills,62
organizational skills,project management,61
coaching,problem solving,60
adaptability,customer relationship management,60
communication,lead generation,59
adaptability,employee relations,59
employee relations,performance management,58
collaboration,financial analysis,58
business development,teamwork,58
flexibility,teamwork,58
communication,organization,57
customer service,sales,57
communication,microsoft excel,57
project management,time management,57
negotiation,relationship building,57
negotiation,time management,56
financial reporting,leadership,56
independence,problem solving,55
communication,compliance,55
communication,motivation,55
self-motivation,teamwork,55
change management,communication,55
data analysis,relationship building,55
communication,recruitment,54
initiative,problem solving,54
microsoft office,teamwork,54
confidentiality,problem solving,54
financial analysis,financial reporting,54
budgeting,leadership,53
communication,financial modeling,53
adaptability,market analysis,53
communication,critical thinking,53
employee relations,interpersonal skills,53
communication,team management,52
data analysis,strategic thinking,52
project management,relationship building,51
interpersonal skills,relationship building,51
communication,forecasting,51
employee relations,teamwork,50
communication,mentoring,50
accounting,problem solving,50
networking,problem solving,50
communication,professionalism,50
communication,conflict resolution,50
employee relations,leadership,50
presentation skills,relationship building,49
budget management,communication,49
independence,teamwork,49
communication,customer focus,49
problem solving,team management,49
adaptability,creativity,49
analytical skills,teamwork,49
budgeting,financial analysis,49
customer relationship management,teamwork,48
customer focus,problem solving,48
communication,product knowledge,48
business development,sales,48
communication,problem-solving,48
communication,positive attitude,48
communication,market research,48
budgeting,financial reporting,48
lead generation,problem solving,47
leadership,negotiation,47
problem solving,product knowledge,47
communication,integrity,47
adaptability,performance management,47
analytical skills,organizational skills,47
adaptability,self-motivation,46
communication,risk management,46
leadership,team management,46
sales,time management,46
excel,problem solving,46
business development,negotiation,46
change management,problem solving,46
interpersonal skills,negotiation,46
data analysis,financial analysis,45
initiative,teamwork,45
adaptability,analytical skills,45
communication,multi-tasking,45
coaching,leadership,45
analytical skills,interpersonal skills,44
problem solving,risk management,44
customer service,interpersonal skills,44
conflict resolution,problem solving,44
communication,salesforce,44
adaptability,financial reporting,44
microsoft office suite,teamwork,44
communication,troubleshooting,44
benefits administration,communication,44
creativity,teamwork,44
microsoft excel,problem solving,44
collaboration,financial reporting,43
compliance,problem solving,43
analytical skills,collaboration,43
problem solving,recruitment,43
business development,presentation skills,43
adaptability,strategic planning,42
critical thinking,problem solving,42
business development,market analysis,42
product knowledge,teamwork,42
communication,reporting,42
presentation skills,time management,42
collaboration,presentation skills,42
communication,training and development,42
forecasting,problem solving,42
communication,crm software,42
communication,relationship management,41
mentoring,problem solving,41
communication,inventory management,41
leadership,performance management,41
negotiation,sales,41
communication,documentation,41
financial analysis,interpersonal skills,41
financial modeling,problem solving,41
account management,communication,41
interpersonal skills,performance management,41
adaptability,coaching,41
problem solving,training and development,40
accounting,teamwork,40
adaptability,initiative,40
financial reporting,teamwork,40
data analysis,employee relations,40
communication,onboarding,40
budget management,problem solving,40
strategic thinking,teamwork,40
business development,leadership,40
customer service,organizational skills,40
leadership,strategic planning,39
collaboration,customer service,39
customer service,flexibility,39
adaptability,networking,39
business development,project management,39
motivation,problem solving,39
data analysis,presentation skills,39
adaptability,microsoft office suite,39
analytical skills,leadership,39
analytical skills,time management,39
organization,problem solving,39
data analysis,negotiation,39
communication,team leadership,38
problem solving,reporting,38
collaboration,negotiation,38
market analysis,negotiation,38
analytical thinking,leadership,38
attention to detail,leadership,38
interpersonal skills,strategic thinking,38
organizational skills,relationship building,38
problem solving,professionalism,38
communication,technical support,38
communication,data management,38
adaptability,customer focus,38
attention to detail,project management,38
market analysis,teamwork,38
communication,self-starter,37
analytical skills,attention to detail,37
budgeting,forecasting,37
collaboration,employee relations,37
performance management,teamwork,37
budgeting,teamwork,37
confidentiality,teamwork,37
budgeting,collaboration,37
adaptability,budgeting,37
adaptability,analytical thinking,37
customer service,leadership,37
leadership,presentation skills,37
positive attitude,problem solving,37
documentation,problem solving,37
financial analysis,project management,36
data analysis,performance management,36
problem solving,team leadership,36
inventory management,teamwork,36
relationship building,self-motivation,36
market research,problem solving,36
inventory management,problem solving,36
analytical skills,project management,36
strategic planning,teamwork,35
customer relationship management,negotiation,35
adaptability,inventory management,35
leadership,mentoring,35
integrity,problem solving,35
customer service,product knowledge,35
positive attitude,teamwork,35
negotiation,project management,35
adaptability,microsoft office,34
customer relationship management,time management,34
communication,decision making,34
data analysis,team collaboration,34
customer relationship management,sales,34
financial analysis,financial modeling,34
interpersonal skills,presentation skills,34
problem solving,troubleshooting,34
adaptability,product knowledge,34
customer service,inventory management,34
adaptability,confidentiality,34
b2b sales,communication,34
adaptability,financial modeling,33
market analysis,relationship building,33
adaptability,lead generation,33
account management,problem solving,33
communication,marketing,33
budgeting,data analysis,33
communication,talent acquisition,33
collaboration,strategic planning,33
benefits administration,problem solving,33
customer service,project management,32
budget management,leadership,32
onboarding,problem solving,32
adaptability,conflict resolution,32
communication,recruiting,32
financial analysis,strategic thinking,32
business development,data analysis,32
